Pacific Highway Maintenance Station,13469.1,15181.8
PACIFIC PLACE MAINTENANCE STATION,34883.4,36720.1
PARADISE VALLEY MAINTENANCE STATION,27173.7,20792.8
PATTERSON MAINTENANCE STATION,44936.3,40888
Peddler Hill Maint,0,0
Pickets S/S,0,0
PIERPOINT SPRINGS/CAMP NELSON MAINTENANCE,4370.9,3714.2
Pine Creek Sand Storage,0,0
PINE GROVE MAINTENANCE STATION,45574.8,41629.8
PINECREST SAND STORAGE,10499,10292.6
PINEHURST MAINTENANCE STATION,353,353
PLACERVILLE MAINTENANCE STATION,119011.2,120022.3
PLATINA MAINTENANCE STATION,21382.9,21461.9
POINT REYES MAINTENANCE STATION,2.3,0
Pomona Maint,1465.1,1509.2
PORTERVILLE MAINTENANCE STATION,35285.8,32948.4
PULGA MAINTENANCE STATION,54246.2,54849
Quail Lake S/S,0,0
QUINCY MAINTENANCE STATION,69450.3,69054.9
Ramona Maint,0,0
Rattlesnake Ck S/S,1847.7,2763.9
RED BLUFF MAINTENANCE STATION,45294.1,41934.2
REDDING MAINTENANCE STATION,166200,241920
Redwood Bypas S/S,0,0
Redwood City Maint,17929.9,14990.8
Richards Blvd Satellite,0,0
RICHMOND CONSTRUCTION LABORATORY,185754.8,163767.7
Richmond-San Rafael Toll Plaza,350987.3,411583.9
RIO VISTA MAINTENANCE STATION,37361.9,39856.7
RIVERSIDE MAINTENANCE STATION,113259,108634.2
Riverton S/S,1415.5,1777.5
ROSEMEAD MAINTENANCE STATION,74815.9,78640
ROSEVILLE MAINTENANCE STATION,20002,21260
ROYAL OAKS WAREHOUSE,301495,293204.9
SALINAS MAINTENANCE STATION,70819.6,66470.4
SALT CREEK SAND STORAGE,6107.5,5321.5
SAN BERNARDINO MAINTENANCE STATION,175182.4,159940.7
San Diego/Coronado Maintenance Station,51200,47500.4
SAN FERNANDO MAINTENANCE STATION,94532,108662
San Francisco Maint,62271.1,63374
SAN GABRIEL ELECTRICAL MAINTENANCE STATION,2457.3,2250.9
SAN JUAN CAPISTRANO MAINTENANCE STATION,49360,46720
San Luis Obispo Maint,0,0
San Mateo Paint,0,0
SAN PEDRO MAINTENANCE STATION,0,0
San Rafael Lands,0,0
San Rafael Paint Shop,40,200
SANTA BARBARA MAINTENANCE STATION,73879.5,72092.6
SANTA CRUZ MAINTENANCE STATION,41468.6,41897.4
SANTA MARIA MAINTENANCE STATION,20354.6,14117.9
Santa Paula Maint,10712.7,10010.8
SANTA ROSA LANDSCAPE STATION,11912.2,10766
Santee Maintenance Station,151936,158515.7
SARATOGA GAP SAND/SALT STORAGE,5590.7,5594.7
SCHELLVILLE MAINTENANCE STATION,0,0
SEBASTOPOL MAINTENANCE STATION,18065.6,16377.2
SEIAD VALLEY MAINTENANCE STATION,1032,954
SEMINARY LANDSCAPE MAINTENANCE,8362.2,7346.8
Sespe Gorge S/S,0,0
SHANDON MAINTENANCE STATION,15101.5,0
SHAVER LAKE MAINTENANCE STATION,55616,47013
Sherwin Grad Sand/Salt Storage,0,0
SHINGLETOWN SAND HOUSE,12988.7,5644.8
SHOSHONE MAINTENANCE STATION,42765.6,38994.4
SIERRAVILLE MAINTENANCE STATION,94098,105880.8
SILVERLAKE MAINTENANCE STATION,104967,100702
SKYLONDA STORAGE,2231.4,1569.4
SONORA JUNCTION MAINTENANCE STATION,139390.4,140493.7
SONORA MAINTENANCE STATION,55644,40902.3
Soulsbyville S/S,1041.4,605.5
SOUTH BAY REGION,26,42.8
South Electrical,489931.7,451118.8
SOUTH LAKE TAHOE MAINTENANCE STATION,299640,337799.9
SOUTH OAKLAND MAINTENANCE STATION,0,0
SOUTH PETALUMA MAINTENANCE STATION,25988.7,21601.8
SOUTH SAN FRANCISCO MAINTENANCE STATION,0,0
South San Jose Maint,61807.5,72315
SPECIAL CREWS MAINTENANCE STATION,347540,335841
Specialty Region Hesperian,124425.3,143603.4
Specialty Region Maint,123095.5,117571.6
STANTON MAINTENANCE STATION,47114.5,45487.4
Sterling Sub Station,0,0
STOCKTON LANDSCAPE,19958.6,17538.1
STOCKTON MAINTENANCE STATION,242281.6,227869.9
